q1;q2;q3;r0;J;R_;L_;C_;D_;Vi
0.2284;1.0402;0.0010;0.8121;5.996;133333.00;0.00011;0.00005;0.50;20.00
0.0956;0.0010;1.3115;0.5758;0.090;133333.00;0.00011;0.00005;0.50;20.00
0.0379;0.0010;2.2014;0.4495;0.044;133333.00;0.00011;0.00005;0.50;20.00
0.0148;0.0010;2.9881;0.0010;0.024;133333.00;0.00011;0.00005;0.50;20.00
0.0097;0.0010;3.4160;0.0010;0.018;133333.00;0.00011;0.00005;0.50;20.00
0.0054;0.0010;3.1050;0.0010;0.014;133333.00;0.00011;0.00005;0.50;20.00
0.0038;0.0010;2.5187;0.0010;0.013;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.4924;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.4918;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5064;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5188;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5165;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5056;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5026;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5012;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5242;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5244;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.4990;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5007;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5130;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5230;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5055;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5258;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5201;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5019;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.4955;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5367;0.0010;0.239;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5194;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5090;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5143;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5175;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5120;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5161;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5167;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5110;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5180;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5199;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5126;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5127;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5175;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5130;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5118;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5168;0.0010;0.238;133333.00;0.00011;0.00005;0.50;20.00
0.0010;0.0010;2.5146;0.0010;0.007;133333.00;0.00011;0.00005;0.50;20.00
