q1;q2;q3;r0;J;R_;L_;C_;D_;Vi
0.228431405;1.040163743;0.001;0.81211203;5.995672442;133.333;0.000111111;0.00005;0.5;20
0.09559137;0.001;1.311527958;0.575809184;0.090171818;133.333;0.000111111;0.00005;0.5;20
0.037882355;0.001;2.201385544;0.449462001;0.043821788;133.333;0.000111111;0.00005;0.5;20
0.014822671;0.001;2.988079748;0.001;0.023505039;133.333;0.000111111;0.00005;0.5;20
0.009651523;0.001;3.41600757;0.001;0.017748415;133.333;0.000111111;0.00005;0.5;20
0.005395598;0.001;3.105020959;0.001;0.013955681;133.333;0.000111111;0.00005;0.5;20
0.003845186;0.001;2.518719585;0.001;0.013121871;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.492448737;0.001;0.006919683;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.491806608;0.001;0.006920583;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.506444281;0.001;0.006900149;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.518849859;0.001;0.23791775;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.516511983;0.001;0.237813911;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.505565813;0.001;0.00690137;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.502598384;0.001;0.006905501;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.501247307;0.001;0.006907384;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.524192865;0.001;0.238154894;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.524357075;0.001;0.238162179;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.499034021;0.001;0.006910471;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.500723801;0.001;0.006908114;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.512978527;0.001;0.006891085;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.52302143;0.001;0.238102921;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.505497423;0.001;0.006901466;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.525792961;0.001;0.238225867;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.520092632;0.001;0.23797293;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.501863292;0.001;0.006906525;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.495502378;0.001;0.006915407;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.53665346;0.001;0.238707031;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.519419337;0.001;0.237943037;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.508991878;0.001;0.006896611;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514308408;0.001;0.006889245;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.517542655;0.001;0.237859695;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.511996595;0.001;0.006892445;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.516132727;0.001;0.237797062;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51670102;0.001;0.237822308;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.510969179;0.001;0.006893869;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.517964795;0.001;0.237878445;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.519934235;0.001;0.237965897;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.512605783;0.001;0.006891601;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.512735674;0.001;0.006891421;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.517454609;0.001;0.237855784;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.5130019;0.001;0.006891053;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.511822761;0.001;0.006892686;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.516805844;0.001;0.237826965;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514572449;0.001;0.00688888;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51367128;0.001;0.006890126;133.333;0.000111111;0.00005;0.5;20
